BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,08/06/2018,13
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,16/10/2018,10
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,05/11/2018,28
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,10/04/2018,2
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,03/04/2018,15
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,25/02/2018,3
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,29/05/2018,3
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,17/05/2018,4
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,27/04/2018,79
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,08/03/2018,2
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,24/08/2018,54
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,16/07/2018,16
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,14/08/2018,3
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,02/05/2018,26
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,12/09/2018,7
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,21/06/2018,26
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,07/05/2018,4
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,02/03/2018,76
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,09/01/2018,2100
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,29/10/2018,7
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,26/07/2018,4
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,27/06/2018,6
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,20/04/2018,0
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,20/07/2018,3
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,04/06/2018,5
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,11/10/2018,7
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,03/01/2018,10
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,09/11/2018,9
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,20/03/2018,3
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,04/07/2018,2
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,11/05/2018,4
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,01/02/2018,19
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,13/02/2018,19
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,10/07/2018,9
29,Sydney City Ocean Beaches,Randwick Council,Little Bay Beach,151.25149,-33.98012,19/01/2018,33
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,10/04/2018,12
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,26/07/2018,4
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,29/10/2018,43
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,02/05/2018,3
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,11/10/2018,6
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,01/08/2018,11
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,23/10/2018,15
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,26/03/2018,32
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,02/03/2018,40
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,20/03/2018,17
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,20/04/2018,90
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,20/07/2018,5
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,25/02/2018,6
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,23/05/2018,5
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,04/06/2018,13
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,28/09/2018,52
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,10/07/2018,160
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,27/06/2018,7
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,16/04/2018,260
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,21/08/2018,0
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,19/02/2018,33
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,11/05/2018,38
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,04/07/2018,22
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,01/02/2018,50
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,08/08/2018,0
