Date,temp_airport
2014-11-22,26.1
2014-11-23,33
2014-11-24,30
2014-11-25,24.3
2014-11-26,26
2014-11-27,21.2
2014-11-28,24.3
2014-11-29,27.6
2014-11-30,29.5
2014-12-01,29.4
2014-12-02,31.2
2014-12-03,33.1
2014-12-04,29.6
2014-12-05,29.3
2014-12-06,28.5
2014-12-07,29.4
2014-12-08,32.7
2014-12-09,24.6
2014-12-10,25.8
2014-12-11,22.7
2014-12-12,22
2014-12-13,23.5
2014-12-14,26
2014-12-15,28.4
2014-12-16,26.8
2014-12-17,23
2014-12-18,27.5
2014-12-19,22.7
2014-12-20,23.7
2014-12-21,28.1
2014-12-22,29.3
2014-12-23,28.8
2014-12-24,24.2
2014-12-25,29.4
2014-12-26,27.4
2014-12-27,22.2
2014-12-28,26.2
2014-12-29,28.5
2014-12-30,35.2
2014-12-31,26
2015-01-01,30.7
2015-01-02,27.5
2015-01-03,31.4
2015-01-04,33.8
2015-01-05,25.8
2015-01-06,28.8
2015-01-07,31.5
2015-01-08,30.8
2015-01-09,33.3
2015-01-10,28.4
2015-01-11,23.1
2015-01-12,23.2
2015-01-13,29.9
2015-01-14,35
2015-01-15,27.1
2015-01-16,29.1
2015-01-17,35.8
2015-01-18,27.2
2015-01-19,23
2015-01-20,27.1
2015-01-21,29.1
2015-01-22,29.3
2015-01-23,31.7
2015-01-24,31.6
2015-01-25,36.6
2015-01-26,21.1
2015-01-27,20.6
2015-01-28,21.5
2015-01-29,21.7
2015-01-30,25.2
2015-01-31,25.6
2015-02-01,25.2
2015-02-02,22.7
2015-02-03,24
2015-02-04,23.5
2015-02-05,24
2015-02-06,25.8
2015-02-07,27.7
2015-02-08,33.1
2015-02-09,27.1
2015-02-10,28.8
2015-02-11,30.7
2015-02-12,30.2
2015-02-13,27
2015-02-14,29.5
2015-02-15,29.1
2015-02-16,29.8
2015-02-17,29.8
2015-02-18,30
2015-02-19,27.5
2015-02-20,27.4
2015-02-21,24.7
2015-02-22,27.7
2015-02-23,28
2015-02-24,24.1
2015-02-25,23.6
2015-02-26,28.4
2015-02-27,27
2015-02-28,29.4
2015-03-01,37.9
2015-03-02,24.2
2015-03-03,28.7
2015-03-04,28.4
2015-03-05,27.5
2015-03-06,30.5
2015-03-07,27
2015-03-08,24.6
2015-03-09,31.3
2015-03-10,25.5
2015-03-11,30.2
2015-03-12,25.6
2015-03-13,22.6
2015-03-14,24.8
2015-03-15,22.8
2015-03-16,23.8
2015-03-17,25.3
2015-03-18,29.8
2015-03-19,28.1
2015-03-20,30.7
2015-03-21,23.4
2015-03-22,25.3
2015-03-23,28.2
2015-03-24,26.5
2015-03-25,23.2
2015-03-26,29.2
2015-03-27,27.1
2015-03-28,23.1
2015-03-29,26.4
2015-03-30,24.4
2015-03-31,23.8
2015-04-01,27
2015-04-02,31
2015-04-03,19.8
2015-04-04,19.7
2015-04-05,23.2
2015-04-06,25.7
2015-04-07,24.3
2015-04-08,23
2015-04-09,20.4
2015-04-10,20.3
2015-04-11,21.1
2015-04-12,21.5
2015-04-13,20.8
