"sort_number","site","Genus_species","Family","growthform","height","loght","Country","Site","lat","long","entered.by","alt","temp","diurn.temp","isotherm","temp.seas","temp.max.warm","temp.min.cold","temp.ann.range","temp.mean.wetqr","temp.mean.dryqr","temp.mean.warmqr","temp.mean.coldqr","rain","rain.wetm","rain.drym","rain.seas","rain.wetqr","rain.dryqr","rain.warmqr","rain.coldqr","LAI","NPP","hemisphere"
2925,107,"Annona_squamosa","Annonaceae","Shrub/Tree",6,0.77815125,"Papua New Guinea","Motupore Island",9.5,147.267,"Laura",30,26.8,8.3,7.6,0.8,32.5,21.6,10.9,27.5,25.7,27.7,25.6,1184,201,33,60,556,117,486,123,3.26,907,-1
10693,71,"Diospyros_gillespiei","Ebenaceae","Tree",8,0.903089987,"Fiji","abko",17.758,178.577,"Laura",13,24.9,6.3,6.3,1.3,30.1,20.1,10,26.5,23.3,26.5,23.2,2767,390,113,38,1012,379,1012,381,4.51,1864,-1
2173,95,"Alchornea_castaneaefolia","Euphorbiaceae","Shrub",4,0.602059991,"Peru","Los Amigos - successional",12.566,-70.105,"Angela",217,24.8,10.5,7.3,1,31.4,17.2,14.2,25.5,23.2,25.6,23.2,3283,472,113,45,1313,383,1004,383,4.26,1475,-1
2426,28,"Aloe_microstigma","Asphodelaceae","Herb",0.6,-0.22184875,"South Africa","Stellenbosch - Karoo",33.609,19.457,"Angela",394,16.5,13.8,5.4,4,29.6,4.4,25.2,11.3,21.4,21.4,11.3,546,87,14,60,253,48,48,253,1.51,557,-1
30276,85,"Terminalia_strigillosa","Combretaceae","Tree",20,1.301029996,"Fiji","b",16.583,179.242,"Laura",611,22.5,6.1,6.4,1.1,27.7,18.3,9.4,23.8,21,23.8,21,2865,383,111,40,1110,374,1110,374,4.5,1800,-1
12043,55,"Eucalyptus_gillenii","Myrtaceae","Shrub",5,0.698970004,"Australia","Alice - the gap",23.795,133.863,"Angela",701,20.9,16.3,4.8,6,37,3.6,33.4,28.1,14.8,28.1,12.7,278,37,9,42,109,35,109,42,1.32,756,-1
8380,122,"Coccoloba_manzinellensis","Polygonaceae","Tree",12,1.079181246,"Panama","BCI",9.167,-79.85,"Angela",94,26.3,6.7,7.3,0.7,31.2,22.1,9.1,25.7,26.4,27.3,25.5,2607,390,29,56,1026,138,407,705,4.51,2146,1
1905,65,"Aglaia_amplexicaulis","Meliaceae","Shrub/Tree",10,1,"Fiji","ak",18.383,178.142,"Laura",30,24.6,6.3,6.1,1.4,30,19.7,10.3,26,22.9,26.3,22.7,2674,345,132,32,943,414,925,431,4.26,1795,-1
8927,218,"Cornus_sp","Cornaceae","Herb",0.2,-0.698970004,"Norway","Norway",68.606,17.606,"Angela",44,1.2,6.3,2.6,6.2,14.5,-9.5,24,6,-0.6,9.6,-6.2,788,95,41,25,260,132,213,193,1.51,121,1
11772,173,"Erigeron_speciosus","Asteraceae","Herb",0.4,-0.397940009,"USA","Rockies",38.966,-106.987,"Angela",2966,0.2,16.9,4,8.6,21.3,-20.8,42.1,10.5,4,11,-10.8,526,53,30,16,148,105,134,144,2.24,339,1
31214,72,"Typha_domingensis","Typhaceae","Herb",1,0,"Fiji","ao",17.742,178.392,"Laura",47,24.8,6.3,6.3,1.3,30,20.1,9.9,26.1,23,26.3,23,2770,381,118,37,1006,391,1005,391,4.51,1864,-1
19239,70,"Macropiper_timothianum","Piperaceae","Shrub/Tree",5,0.698970004,"Fiji","abk",17.783,178.508,"Laura",30,24.8,6.3,6.3,1.3,30.1,20.1,10,26.2,23.2,26.4,23,2803,390,117,37,1017,389,1013,393,4.51,1864,-1
12091,21,"Eucalyptus_incrassata","Myrtaceae","Tree",8,0.903089987,"Australia","Adelaide - ferries",35.235,139.132,"Angela",52,15.6,11.7,5.3,3.7,27.8,5.8,22,10.9,20.2,20.3,10.9,384,45,18,29,127,59,60,127,2.17,661,-1
13030,13,"Fuchsia_excorticata","Onagraceae","Shrub",13,1.113943352,"New Zealand","Nelson",42,173,"Angela",1650,4.2,8.5,4.4,3.7,14.8,-4.4,19.2,-0.1,8.9,8.9,-0.7,2043,204,105,16,582,388,388,580,4.26,1102,-1
4841,4,"Bolax_gummifera","Apiaceae","Herb",0.08,-1.096910013,"Argentina","Rio Turbio - heath",51.575,-72.312,"Angela",747,3.7,9.7,4.9,3.6,14,-5.6,19.6,3.5,4.2,8,-1.2,500,57,34,15,152,106,120,122,1.26,30,-1
12027,104,"Eucalyptus_confertiflora","Myrtaceae","Tree",20,1.301029996,NA,"Melville Island",11.5,130.967,"Angela",44,27.1,9.4,6.3,1.4,33.2,18.5,14.7,27.7,24.8,28.5,24.8,1664,355,2,100,1032,12,453,12,4.04,969,-1
25282,159,"Quercus_rubra","Fagaceae","Tree",21,1.322219295,"USA","Twin springs, Virginia",36.817,-82.464,"Angela",501,12.7,13,3.8,7.8,29.6,-4.5,34.1,20.6,13.4,22.4,2.3,1121,117,71,12,322,240,310,265,4.07,1325,1
4331,42,"Banksia_hookeriana","Proteaceae","Shrub",1.71,0.23299611,"Australia","Western Australia",29.867,115.25,"Angela",79,20.1,13.3,5.1,4.6,35,9,26,14.7,26,26.4,14.7,520,117,5,83,292,29,30,292,1.67,75,-1
11376,216,"Empetrum_nigrum","Ericaceae","Shrub",0.08,-1.096910013,"Sweden","Abisko - Paddus",68.324,18.843,"Angela",554,-1,7,2.4,7.5,14.6,-14.1,28.7,8.1,-6.7,9.1,-10.1,436,66,19,38,172,65,162,89,1.24,61,1
